,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
530,2012-08-07,10.273267946390177,-48.26586521263654,62.887439067170746,10.273267946390177,10.273267946390177,-5.290949828511322,-5.290949828511322,-5.290949828511322,-0.3374424043535178,-0.3374424043535178,-0.3374424043535178,-4.953507424157804,-4.953507424157804,-4.953507424157804,0.0,0.0,0.0,4.982318117878855
531,2012-08-08,10.284271706840313,-49.635702735781486,64.15877754786975,10.284271706840313,10.284271706840313,-4.850068310486134,-4.850068310486134,-4.850068310486134,-0.1796711260142401,-0.1796711260142401,-0.1796711260142401,-4.670397184471893,-4.670397184471893,-4.670397184471893,0.0,0.0,0.0,5.434203396354179
532,2012-08-09,10.295275467290447,-54.756740701301254,64.78442008025459,10.295275467290447,10.295275467290447,-5.0174830238746875,-5.0174830238746875,-5.0174830238746875,-0.6562877815441801,-0.6562877815441801,-0.6562877815441801,-4.361195242330507,-4.361195242330507,-4.361195242330507,0.0,0.0,0.0,5.277792443415759
533,2012-08-10,10.30627922774058,-56.11961404063129,59.03755627080142,10.30627922774058,10.30627922774058,-5.0840797301526655,-5.0840797301526655,-5.0840797301526655,-1.0535156581762684,-1.0535156581762684,-1.0535156581762684,-4.030564071976396,-4.030564071976396,-4.030564071976396,0.0,0.0,0.0,5.222199497587915
534,2012-08-13,10.339290509090985,-45.95791815828289,64.60323342723834,10.339290509090985,10.339290509090985,-3.170106308617765,-3.170106308617765,-3.170106308617765,-0.2108126108019877,-0.2108126108019877,-0.2108126108019877,-2.9592936978157773,-2.9592936978157773,-2.9592936978157773,0.0,0.0,0.0,7.16918420047322
535,2012-08-14,10.350294269541118,-50.91885849882937,62.67561137988327,10.350294269541118,10.350294269541118,-2.929687759025906,-2.929687759025906,-2.929687759025906,-0.3374424043555107,-0.3374424043555107,-0.3374424043555107,-2.592245354670395,-2.592245354670395,-2.592245354670395,0.0,0.0,0.0,7.420606510515212
536,2012-08-15,10.361298029991252,-49.472797547839505,65.48793252507906,10.361298029991252,10.361298029991252,-2.4078385752275704,-2.4078385752275704,-2.4078385752275704,-0.1796711260135858,-0.1796711260135858,-0.1796711260135858,-2.2281674492139847,-2.2281674492139847,-2.2281674492139847,0.0,0.0,0.0,7.953459454763681
537,2012-08-16,10.372301790441387,-46.25825922284505,68.11313563816464,10.372301790441387,10.372301790441387,-2.527750518429677,-2.527750518429677,-2.527750518429677,-0.6562877815448084,-0.6562877815448084,-0.6562877815448084,-1.8714627368848686,-1.8714627368848686,-1.8714627368848686,0.0,0.0,0.0,7.84455127201171
538,2012-08-17,10.38330555089152,-51.850090264789564,64.64016438328716,10.38330555089152,10.38330555089152,-2.5797013722051245,-2.5797013722051245,-2.5797013722051245,-1.0535156581755516,-1.0535156581755516,-1.0535156581755516,-1.526185714029573,-1.526185714029573,-1.526185714029573,0.0,0.0,0.0,7.803604178686396
539,2012-08-20,10.416316832241924,-48.72747295439723,67.3274716884895,10.416316832241924,10.416316832241924,-0.803957391157248,-0.803957391157248,-0.803957391157248,-0.21081261079908925,-0.21081261079908925,-0.21081261079908925,-0.5931447803581588,-0.5931447803581588,-0.5931447803581588,0.0,0.0,0.0,9.612359441084676
540,2012-08-21,10.427320592692059,-47.58726327515123,67.4617955846834,10.427320592692059,10.427320592692059,-0.6629029169943264,-0.6629029169943264,-0.6629029169943264,-0.33744240435469974,-0.33744240435469974,-0.33744240435469974,-0.3254605126396266,-0.3254605126396266,-0.3254605126396266,0.0,0.0,0.0,9.764417675697732
541,2012-08-22,10.438324353142194,-48.781156212431156,68.66234066754835,10.438324353142194,10.438324353142194,-0.26242156039957054,-0.26242156039957054,-0.26242156039957054,-0.17967112601401355,-0.17967112601401355,-0.17967112601401355,-0.08275043438555699,-0.08275043438555699,-0.08275043438555699,0.0,0.0,0.0,10.175902792742624
542,2012-08-23,10.449328113592326,-45.260943213095295,65.70121874839904,10.449328113592326,10.449328113592326,-0.5225593827171011,-0.5225593827171011,-0.5225593827171011,-0.6562877815454368,-0.6562877815454368,-0.6562877815454368,0.13372839882833568,0.13372839882833568,0.13372839882833568,0.0,0.0,0.0,9.926768730875224
543,2012-08-24,10.460331874042462,-47.2293416115933,66.27566745609022,10.460331874042462,10.460331874042462,-0.730336756951384,-0.730336756951384,-0.730336756951384,-1.0535156581741842,-1.0535156581741842,-1.0535156581741842,0.32317890122280035,0.32317890122280035,0.32317890122280035,0.0,0.0,0.0,9.729995117091077
